title,url_2022,url_2026,score,rank,popularity,has_v2022,has_v2026,v2022_saturation_mean,v2022_brightness_mean,v2022_contrast_rms,v2022_edge_density,v2022_color_entropy,v2026_saturation_mean,v2026_brightness_mean,v2026_contrast_rms,v2026_edge_density,v2026_color_entropy,diff_edge,diff_sat,diff_bright,diff_entropy,cover_changed
True Beauty,https://webtoon-phinf.pstatic.net/20210129_65/16118783359373m3Cw_JPEG/710_EC8DB8EB84A4EC9DBC_ipad.jpg?type=a210,https://myanimelist.net/images/manga/3/246434l.jpg,6.45,18587.0,1174,True,True,43.8439,210.5647,78.4755,6.9116,4.8408,101.4257,165.4668,71.7232,11.4318,7.0092,4.520200000000001,57.58180000000001,45.09789999999998,2.1684003,True
The Remarried Empress,https://webtoon-phinf.pstatic.net/20200904_268/15991782626199gHlt_JPEG/10_EC8DB8EB84A4EC9DBC_ipad.jpg?type=a210,https://myanimelist.net/images/manga/1/235295l.jpg,7.89,1186.0,732,True,True,42.1634,232.5778,72.6714,6.9637,3.3972,141.8907,111.1106,65.8459,13.5023,7.4601,6.5386,99.72730000000001,121.46719999999999,4.0629,True
Reunion,https://webtoon-phinf.pstatic.net/20220311_14/1646942368946RE3Vw_JPEG/9Reunion_thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/2/331105l.jpg,8.26,,20807,True,True,42.7654,223.933,69.9582,7.1497,4.2281,66.8253,136.1538,60.11,3.8764,7.5695,3.2733000000000003,24.0599,87.7792,3.3414001,True
Teenage Mercenary,https://webtoon-phinf.pstatic.net/20210430_189/1619747366300Iwsx1_JPEG/8TeenageMercenary_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/260540l.jpg,7.83,1421.0,410,True,True,21.8566,227.136,61.601,8.771,4.3197,22.611,152.1737,68.6727,7.5874,7.7473,1.183600000000001,0.7544000000000004,74.9623,3.4276004,True
Sixth Sense Kiss,https://webtoon-phinf.pstatic.net/20210611_164/1623376288176HRb8t_JPEG/6SixthSenseKiss_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/261344l.jpg,7.09,8282.0,7011,True,True,27.2836,188.9851,91.6245,9.0726,5.5018,36.2702,178.2297,78.1995,8.6948,7.4815,0.3777999999999988,8.986600000000003,10.75539999999998,1.9797001,True
Get Schooled,https://webtoon-phinf.pstatic.net/20210504_152/16200853872927nrBD_JPEG/1GetSchooled_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/260759l.jpg,7.5,3365.0,1938,True,True,32.514,164.4999,109.435,4.5397,4.4572,108.4604,82.5998,60.1849,4.3986,6.9226,0.14109999999999978,75.94640000000001,81.9001,2.4653997,True
Perfect Marriage Revenge,https://webtoon-phinf.pstatic.net/20211012_36/1633978251222Fa3sz_JPEG/9PerfectMarriageRevenge_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/261351l.jpg,6.79,13241.0,6765,True,True,22.3446,234.0141,52.6801,7.6871,4.5134,52.8035,203.9838,69.2739,11.0287,7.2911,3.3416000000000006,30.4589,30.03030000000001,2.7777,True
Wished You Were Dead,https://webtoon-phinf.pstatic.net/20211111_138/1636569472109QdlL8_JPEG/5WishedYouWereDead_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/1/261629l.jpg,6.62,16210.0,5738,True,True,29.7834,207.8731,76.7618,13.4014,5.7385,94.4779,119.0739,77.793,11.9838,7.6551,1.4176000000000002,64.6945,88.7992,1.9165998,True
The RUNWAY,https://webtoon-phinf.pstatic.net/20211210_188/16391201236590Lxq7_JPEG/9TheRunway_thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/1/261636l.jpg,6.6,16543.0,10160,True,True,29.6563,220.5463,69.5619,8.4082,4.5035,73.6877,154.0797,67.6487,8.9473,7.9212,0.5390999999999995,44.031400000000005,66.4666,3.4176998,True
My Reason to Die,https://webtoon-phinf.pstatic.net/20220428_42/16511200227778l0Cw_JPEG/0My+Reason+to+Die_Launch__thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/1/267747l.jpg,7.93,1061.0,3169,True,True,24.8891,206.9925,84.9769,7.4036,4.6356,65.5622,148.0861,57.4753,5.1667,7.4757,2.2369000000000003,40.673100000000005,58.90640000000002,2.8400998,True
